DateTime,Original Tweet,Processed Tweet
2013-07-31 20:51:30+00:00,Data is a Game Changer #sports #analytics #bigdata #engagement #gamechangerIBM http://gag.gl/AGMvQ,"['data', 'game', 'changer', 'sport', 'analytics', 'bigdata', 'engagement', 'gamechangeribm']"
2013-07-22 03:09:36+00:00,Finally getting around to trying HootSuite...do users have a browser preference?,"['finally', 'get', 'around', 'try', 'hootsuitedo', 'user', 'browser', 'preference']"
2013-07-20 13:25:46+00:00,"With Its Acquisition Of Locationary, Apple Zeros In On Maps, Big Data And Competing With Google http://techcrunch.com/2013/07/19/with-its-acquisition-of-locationary-apple-zeros-in-on-maps-big-data-and-competing-with-google/ via @techcrunch","['acquisition', 'locationary', 'apple', 'zeros', 'maps', 'big', 'data', 'competing', 'google', 'via']"
2013-07-19 02:15:47+00:00,Yelp Acquires Online Reservation Service SeatMe | TechCrunch http://lnkd.in/vvP6wk,"['yelp', 'acquires', 'online', 'reservation', 'service', 'seatme', 'techcrunch']"
2013-07-19 02:09:06+00:00,"Um, wow. ""ColAR Uses Augmented Reality To Bring Your Kid's Drawing To Life http://techcrunch.com/2013/07/17/colar-uses-augmented-reality-to-brings-your-kids-drawing-to-life/ via @techcrunch""","['um', 'wow', 'colar', 'uses', 'augmented', 'reality', 'bring', 'kids', 'drawing', 'life', 'via']"
2013-07-18 17:01:25+00:00,Thanks @techguerilla @AmberCadabra @Renee_Hopkins #innochat,"['thanks', 'innochat']"
2013-07-18 16:59:12+00:00,@AmberCadabra fair point. funny the discrepancy between how patents and ideas are treated #innochat,"['fair', 'point', 'funny', 'discrepancy', 'patent', 'idea', 'treat', 'innochat']"
2013-07-18 16:56:28+00:00,IMHO if innovation is critical to growth then idea mgmt should be more prominent in #socbiz platforms. Otherwise oppties wasted #innochat,"['imho', 'innovation', 'critical', 'growth', 'idea', 'mgmt', 'prominent', 'socbiz', 'platform', 'otherwise', 'oppties', 'waste', 'innochat']"
2013-07-18 16:41:12+00:00,Side note: not impressed with Twubs for Twitter chats #innochat,"['side', 'note', 'impress', 'twubs', 'twitter', 'chat', 'innochat']"
2013-07-18 16:39:32+00:00,"A3: more willingness to openly innovate, co-create; shared risk, reward #innochat","['willingness', 'openly', 'innovate', 'cocreate', 'share', 'risk', 'reward', 'innochat']"
